distribution,100,200,300,400,500,600,700,800,900,1000
norm,14089.952000001558,14092.53333333927,14091.095111127617,14077.744000010513,14076.34293332861,14071.238666699566,14095.132571433682,14081.644666672599,14067.089481503033,14099.857866679766
uni,13009.922666667086,12935.862666672103,12977.100444458414,12993.646666678973,12976.098666663562,12990.644444479289,12980.107809526415,13006.426333345798,12944.775407421937,12985.897066678737
expo,12961.173333335404,12997.977333340757,12952.583111125216,12933.427333347978,12934.90826665582,12937.504000029763,12957.281142865222,12965.680666667877,12999.121481505585,12956.983466679461
